Previous,Current,HighestNext,CurrentProb,HighestProb,IsSame
START_STATE,Under60_UT30,Under30_MI227,3.6571848678818525e-05,0.041521238866685295,False
Under60_UT30,Under60_UT237,END_STATE,0.020833333333333332,0.8958333333333334,False
START_STATE,Under60_KS228,Under30_MI227,0.00019129890078151227,0.041521238866685295,False
Under60_KS228,Under60_KS202,END_STATE,0.0034129692832764505,0.6757679180887372,False
START_STATE,Under30_UT227,Under30_MI227,0.014486203035650989,0.041521238866685295,False
START_STATE,Under60_UT220,Under30_MI227,0.0009621209421658411,0.041521238866685295,False
START_STATE,Under30_MI218,Under30_MI227,0.0071090047393364926,0.041521238866685295,False
START_STATE,Over60_OH183,Under30_MI227,2.719445158168557e-05,0.041521238866685295,False
START_STATE,Under60_MI231,Under30_MI227,0.004159813352288179,0.041521238866685295,False
START_STATE,Under30_MI231,Under30_MI227,0.004625869988015686,0.041521238866685295,False
START_STATE,Under60_MI227,Under30_MI227,0.03701539956151291,0.041521238866685295,False
START_STATE,Under60_GA234,Under30_MI227,0.00025787842017115624,0.041521238866685295,False
Under60_GA234,Under60_GA234,END_STATE,0.09045226130653267,0.6834170854271356,False
START_STATE,Under30_PA147,Under30_MI227,2.3443492742832385e-05,0.041521238866685295,False
START_STATE,Under30_PA243,Under30_MI227,0.0006207836878302016,0.041521238866685295,False
START_STATE,Under60_PA240,Under30_MI227,0.000545764511053138,0.041521238866685295,False
START_STATE,Under60_PA227,Under30_MI227,0.009423346342908905,0.041521238866685295,False
START_STATE,Under30_PA233,Under30_MI227,0.0017985847632301006,0.041521238866685295,False
START_STATE,Under30_PA231,Under30_MI227,0.0006179704687010617,0.041521238866685295,False
Under30_PA231,Under30_PA233,END_STATE,0.2572549019607843,0.48549019607843136,False
START_STATE,Under60_PA233,Under30_MI227,0.0016869937377742186,0.041521238866685295,False
START_STATE,Under60_FL213,Under30_MI227,0.001200306828433018,0.041521238866685295,False
START_STATE,Under30_MA243,Under30_MI227,0.0003610297882396188,0.041521238866685295,False
START_STATE,Under30_MA227,Under30_MI227,0.005291665181912126,0.041521238866685295,False
START_STATE,Under60_MA226,Under30_MI227,0.0005898382774096628,0.041521238866685295,False
START_STATE,Under60_MI227,Under30_MI227,0.03701539956151291,0.041521238866685295,False
START_STATE,Under30_MA233,Under30_MI227,0.0021380465381463138,0.041521238866685295,False
START_STATE,Under30_MA227,Under30_MI227,0.005291665181912126,0.041521238866685295,False
START_STATE,Under60_MI193,Under30_MI227,0.000520445538890879,0.041521238866685295,False
START_STATE,Under60_UT232,Under30_MI227,0.0003985393766281506,0.041521238866685295,False
START_STATE,Under60_MI231,Under30_MI227,0.004159813352288179,0.041521238866685295,False
START_STATE,Under30_MI206,Under30_MI227,0.003452757611164354,0.041521238866685295,False
START_STATE,Under30_IA218,Under30_MI227,0.0001866102022329458,0.041521238866685295,False
START_STATE,Under60_CA226,Under30_MI227,0.00040041485604757715,0.041521238866685295,False
Under60_CA226,Under60_CA227,END_STATE,0.08874801901743265,0.652931854199683,False
Under60_CA227,Under60_CA226,END_STATE,0.006774876499647142,0.8128440366972477,False
Under60_CA226,Under60_CA243,END_STATE,0.014263074484944533,0.652931854199683,False
Under60_CA243,Under60_CA243,END_STATE,0.15063520871143377,0.7096188747731398,False
Under60_CA243,Under60_CA243,END_STATE,0.15063520871143377,0.7096188747731398,False
Under60_CA243,Under60_CA243,END_STATE,0.15063520871143377,0.7096188747731398,False
Under60_CA243,Under60_CA227,END_STATE,0.041742286751361164,0.7096188747731398,False
START_STATE,Under30_GA243,Under30_MI227,0.0003450882131744927,0.041521238866685295,False
START_STATE,Under30_KS227,Under30_MI227,0.0007801994384814618,0.041521238866685295,False
START_STATE,Under30_KS163,Under30_MI227,0.0002850728717528418,0.041521238866685295,False
START_STATE,Under60_WA240,Under30_MI227,0.0005804608803125299,0.041521238866685295,False
START_STATE,Under60_WA163,Under30_MI227,0.0010596458719760238,0.041521238866685295,False
START_STATE,Under30_WA213,Under30_MI227,0.0022815207137324477,0.041521238866685295,False
START_STATE,Under60_WI227,Under30_MI227,0.0028863628264975236,0.041521238866685295,False
START_STATE,Under30_UT206,Under30_MI227,0.00230496420647528,0.041521238866685295,False
START_STATE,Under60_MI163,Under30_MI227,0.008350572114996896,0.041521238866685295,False
Under60_MI163,Under60_MI226,END_STATE,0.003899902502437439,0.7247318817029574,False
Under60_MI226,Under60_MI227,END_STATE,0.10570962479608483,0.6424143556280587,False
Under60_MI227,Under60_MI226,END_STATE,0.011289052244683644,0.8091968414887817,False
